Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,Price_outlier,Price_log
The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,"Arts, Film & Photography",Cinema & Broadcast,Paperback,169.0,4.4,19923,False,5.135798437050262
"Black Holes (L) : The Reith Lectures [] Hawking, Stephen",Stephen Hawking,"Arts, Film & Photography",Cinema & Broadcast,Paperback,99.0,4.5,7686,False,4.605170185988092
The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,175.75,4.6,50016,False,5.174736304776682
Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Paperback,389.0,4.6,32040,False,5.966146739123692
"The Science of Storytelling: Why Stories Make Us Human, and How to Tell Them Better",Will Storr,"Arts, Film & Photography",Cinema & Broadcast,Paperback,348.16,4.5,1707,False,5.855530269867149
Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,313.95,4.5,15122,False,5.752413896067938
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,313.95,4.6,10152,False,5.752413896067938
Desperately Seeking Shah Rukh : India's Lonely Young Women and the Search for Intimacy and Independence,Shrayana Bhattacharya,"Arts, Film & Photography",Cinema & Broadcast,Paperback,348.16,4.5,539,False,5.855530269867149
Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,"Arts, Film & Photography",Cinema & Broadcast,Paperback,850.0,4.5,7060,False,6.7464121285733745
Screenplay,Syd Field,"Arts, Film & Photography",Cinema & Broadcast,Paperback,644.52,4.5,3216,False,6.470056193540251
One Day,David Nicholls,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,892.0,4.2,10550,True,6.794586580876499
SACH KAHUN TOH: AN AUTOBIOGRAPHY,NEENA GUPTA,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,361.0,4.4,1558,False,5.891644211825771
A PRINCESS REMEMBERS (),Maharani Gayatri,"Arts, Film & Photography",Cinema & Broadcast,Paperback,572.0,4.5,719,False,6.35088571671474
The Anatomy of Story,John Truby,"Arts, Film & Photography",Cinema & Broadcast,Paperback,479.0,4.6,2871,False,6.173786103901937
Studio Ghibli: The Complete Works,Studio Ghibli,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,2132.78,4.8,226,True,7.665650333763767
"Story: Style, Structure, Substance, and the Principles of Screenwriting",Robert McKee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,2612.0,4.7,2653,True,7.868254265520613
Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,371.7,4.6,32040,False,5.9207738064852125
BRUCE LEE,Matthew Polly,"Arts, Film & Photography",Cinema & Broadcast,Paperback,424.0,4.7,915,False,6.052089168924417
JOURNEYS IN THE WILD,Sir David Attenborough,"Arts, Film & Photography",Cinema & Broadcast,Paperback,438.0,4.6,389,False,6.0844994130751715
Speaking Of Films (The Penguin Ray Library),Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,207.0,4.6,311,False,5.337538079701318
Jadunama: Javed Akhtar Ek Safar (Hindi),Arvind Mandloi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,1358.0,4.3,27,True,7.214504414151143
"Satyajit Ray Miscellany: On Life, Cinema",Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,401.0,4.6,127,False,5.996452088619021
Unscripted: Conversations on Life and Ci: Conversations on Life and Cinema,Abhijat Joshi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,423.0,4.5,309,False,6.049733455231958
"FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE � THE COMPLETE SCREENPLAY [] Rowling, J.K. and Kloves, Steve",J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,587.0,4.6,1280,False,6.376726947898627
Conversations with Mani Ratnam (),Baradwaj Rangan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,389.0,4.6,305,False,5.966146739123692
Hitcock,Francois Truffaut,"Arts, Film & Photography",Cinema & Broadcast,Paperback,1463.0,4.7,787,True,7.288927694521257
Indian Cinema: A Very Short Introduction (Very Short Introductions),Ashish Rajadhyaksha,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,176.32,4.2,22,False,5.177956009876853
Basu Chatterji And Middle-of-the-Road Ci: And Middle-of-the-Road Cinema,Anirudha Bhattacharjee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,413.0,4.8,22,False,6.025865973825314
This Life at Play: Memoirs,Girish Karnad,"Arts, Film & Photography",Cinema & Broadcast,Paperback,344.0,4.6,168,False,5.84354441703136
The Supernatural Quiz Book: 500 Questions and Answers on Supernatural: 500 Questions and Answers on Supernatural Season 1,Light Bulb Quizzes,"Arts, Film & Photography",Cinema & Broadcast,Paperback,404.0,5.0,4,False,6.003887067106539
Avatar: The Last Airbender The Art of the Animated Series (Second Edition),Michael Dante DiMartino,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,2148.0,4.9,1615,True,7.67275789664251
On Directing Film,David Mamet,"Arts, Film & Photography",Cinema & Broadcast,Paperback,608.0,4.4,848,False,6.411818267709897
The Magic of MinaLima: Celebrating the Graphic Design Studio Behind the Harry Potter & Fantastic Beasts Films,MinaLima,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,1709.83,4.8,595,True,7.444733911854839
ILLUSION OF LIFE,Frank Thomas,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4079.0,4.9,1903,True,8.313852267398207
Sara Aakash [] Rajendra Yadav,Rajendra Yadav,"Arts, Film & Photography",Cinema & Broadcast,Paperback,131.0,4.4,177,False,4.882801922586371
The Nutshell Technique: Crack the Secret of Successful Screenwriting,Jill Chamberlain,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,448.35,4.6,593,False,6.1078020941043825
Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,Dean Movshovitz,"Arts, Film & Photography",Cinema & Broadcast,Paperback,1441.0,4.4,778,True,7.273786317844895
Madhubala: Her Real Life Story (General Press),Manju Gupta,"Arts, Film & Photography",Cinema & Broadcast,Paperback,135.0,3.6,400,False,4.912654885736052
Jiya Jale: The Stories of Songs,Gulzar (In conversation with Nasreen Munni Kabir),"Arts, Film & Photography",Cinema & Broadcast,Hardcover,385.0,4.6,289,False,5.955837369464831
Will,Will Smith,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,1093.0,4.6,22078,True,6.9975959829819265
Mahanati savitri- venditera samragni (Mahanati savitri- venditera samragni),pallavi rg,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,250.0,4.5,22,False,5.5254529391317835
"Winter Kisses at Roseford Café: A escapist, romantic festive read from Fay Keenan",Fay Keenan,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,192.04,4.4,1423,False,5.262897421316776
Sara Aakash Patkatha (Hindi Edition),Rajendra Yadav & Basu Chatterji,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,147.0,4.4,177,False,4.997212273764115
"Bondhu: My Father, My Friend (The India List)",Kunal Sen,"Arts, Film & Photography",Cinema & Broadcast,Paperback,346.0,4.4,14,False,5.849324779946859
Batman Begins: The Screenplay: Including Storyboards and Exclusive Interviews,Christopher Nolan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,1596.0,4.5,46,True,7.3758821482150125
The Science of Interstellar,Kip Thorne,"Arts, Film & Photography",Cinema & Broadcast,Paperback,1795.0,4.7,2048,True,7.493317248862145
"STORY MAPS: The Dark Knight Trilogy (Batman Begins, The Dark Knight, The Dark Knight Rises)",Daniel Calvisi,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,81.42,4.2,9,False,4.411828125910671
"Animator's Survival Kit, The",Richard E. Williams,"Arts, Film & Photography",Cinema & Broadcast,Paperback,2435.0,4.8,6242,True,7.798112628829788
Beyond the Story: 10-Year Record of BTS,BTS and Myeongseok Kang,"Arts, Film & Photography",Music,Hardcover,999.0,4.7,5422,True,6.907755278982137
THE ARTIST'S WAY,Julia Cameron,"Arts, Film & Photography",Music,Paperback,519.0,4.5,10871,False,6.253828811575473
Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 1,Trinity College London Press,"Arts, Film & Photography",Music,Other,801.0,4.6,642,False,6.687108607866515
Malibu Rising,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,279.0,4.2,70056,False,5.634789603169249
Six String Entertainment Pvt Ltd Blank Music manuscript book- 12 Stave : 32 pages (16 sheets),SIX STRING MUSIC,"Arts, Film & Photography",Music,Paperback,249.0,4.4,259,False,5.521460917862246
Piano 2021-2023. Grade 1,Trinity College London,"Arts, Film & Photography",Music,Other,599.0,4.5,878,False,6.396929655216146
Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial,Trinity College London,"Arts, Film & Photography",Music,Other,765.0,4.6,317,False,6.641182169740591
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Initial Grade: And Technical Work - Initial Grade,Joanna Clarke,"Arts, Film & Photography",Music,Other,679.0,4.4,662,False,6.522092798170152
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 3,Trinity College London Press,"Arts, Film & Photography",Music,Other,975.84,4.6,237,True,6.884322871999015
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 2: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Other,923.0,4.4,7,True,6.828712071641684
John Thompson's Easiest Piano Course - Part 1 - Book Only: Part 1 - Book Only,John Thompson,"Arts, Film & Photography",Music,Paperback,585.0,4.5,5471,False,6.373319789577012
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 3: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Other,1913.0,4.6,14,True,7.5569505720129
Trinity College London Acoustic Guitar Exam Pieces 2020–2023: Initial–Grade 2: Initial to Grade 2,Trinity College London,"Arts, Film & Photography",Music,Other,2139.09,4.5,379,True,7.668603163206332
"Six String Entertainment Pvt Ltd Music manuscript Book- 12 stave: 100 pages, 50 Sheet (Leaves)",SIX STRING MUSIC,"Arts, Film & Photography",Music,Paperback,350.0,4.4,100,False,5.860786223465865
"WHEN IN ROME: The charming new rom-com from the author of the TikTok sensation, THE CHEAT SHEET!",Sarah Adams,"Arts, Film & Photography",Music,Paperback,435.0,4.2,6960,False,6.077642243349034
John Thompson's Modern Course for the Piano - First Grade (Book Only): First Grade - English: The First Grade Book : Something New Every Lesson,John Thompson,"Arts, Film & Photography",Music,Paperback,600.0,4.7,2992,False,6.398594934535208
"Theory of Music Workbook Grade 1 (2007): Ursula Moray Williams, Gobbolino and the Little Wooden Horse",Trinity College London,"Arts, Film & Photography",Music,Other,810.51,4.6,990,False,6.698896709737624
Lekin,Edited by Dr. Kumar Vishwas Jon (Jaun Elia),"Arts, Film & Photography",Music,Paperback,232.0,4.4,84,False,5.4510384535657
Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 2,Trinity College London Press,"Arts, Film & Photography",Music,Other,802.0,4.6,383,False,6.688354713946762
Alfred's Basic Piano Library: Prep Course Lesson Book Level B,Willard Palmer,"Arts, Film & Photography",Music,Paperback,580.0,4.8,769,False,6.364750756851911
Sangeeta Bala Padam - Varnam Part 2,Giri,"Arts, Film & Photography",Music,Paperback,194.0,4.6,291,False,5.272999558563747
Standard Wirebound Manuscript Paper (Green Cover),Hal Leonard,"Arts, Film & Photography",Music,Paperback,451.0,4.7,9115,False,6.113682179832232
Sangeeta Bala Padam - Varnam Part - 2 (),Giri,"Arts, Film & Photography",Music,Hardcover,220.0,4.8,59,False,5.3981627015177525
THE CHEAT SHEET: TikTok made me buy it! The friends-to-lovers rom-com hit sensation!,Sarah Adams,"Arts, Film & Photography",Music,Paperback,413.0,4.2,17341,False,6.025865973825314
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Other,924.0,4.8,12,True,6.829793737512425
Just Kids,Patti Smith,"Arts, Film & Photography",Music,Paperback,760.0,4.5,9371,False,6.634633357861686
Daisy Jones and The Six,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,334.0,4.3,82376,False,5.814130531825066
Hindustani Sangeet Paddhati Kramik Pustak Malika Part 1,Pandit Vishnu Narayan Bhatkhande,"Arts, Film & Photography",Music,Hardcover,140.0,4.1,96,False,4.948759890378168
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 4,Trinity College London,"Arts, Film & Photography",Music,Other,903.0,4.7,173,True,6.806829360392176
"Raag Parichay Part 1, 2, 3, and 4 (Combo Set of 4 Books)",Pt. Harishchandra Shrivastava,"Arts, Film & Photography",Music,Paperback,700.0,4.5,1080,False,6.55250788703459
Kotha Sangeeta Vidyadarpanam,Sri Ekha Subba Rao,"Arts, Film & Photography",Music,Paperback,458.0,4.4,47,False,6.129050210060545
John Thompson's Easiest Piano Course - Part 2 - Book Only: Part 2 - Book Only,John Thompson,"Arts, Film & Photography",Music,Paperback,495.0,4.7,1743,False,6.206575926724928
"Alfred's Basic Adult Piano Course Lesson Book, Bk 1",Willard A Palmer,"Arts, Film & Photography",Music,Paperback,1121.0,4.7,4243,True,7.022868086082641
"Discovering Music Theory, The ABRSM Grade 1 Workbook",ABRSM,"Arts, Film & Photography",Music,Other,850.0,4.7,1505,False,6.7464121285733745
Sanchita's Bollywood Song Notations - Book 2 (Hindi),Sanchita Pandey,"Arts, Film & Photography",Music,Paperback,500.0,4.5,15,False,6.2166061010848646
J I YA JALE THE STORIES OF SONGS,Nasreen Munni Kabir Gulzar,"Arts, Film & Photography",Music,Paperback,289.0,4.6,289,False,5.66988092298052
"Violin Scales, Arpeggios & Studies Initial-Grade 8 From 2016",Trinity College London,"Arts, Film & Photography",Music,Other,1484.0,4.7,246,True,7.3031700512368
Net Sangeet,Dr. Tejsingh Taak,"Arts, Film & Photography",Music,Paperback,295.0,4.4,98,False,5.69035945432406
Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial - Extended Edition,Trinity College London,"Arts, Film & Photography",Music,Other,1142.0,4.5,161,True,7.04141166379481
Concepts Of Vocal Music Class 12 (Second Edition),Pt. Satish Chandra Srivastava,"Arts, Film & Photography",Music,Hardcover,159.0,4.5,8,False,5.075173815233827
"Piano Adventures, Primer Level, Lesson Book",Nancy Faber,"Arts, Film & Photography",Music,Paperback,772.0,4.8,6322,False,6.650279048587422
Ganamrutha Bodhini Sangeetha Bala Padam English & Varna Malika (English) latest versions,Sangeetha Vidwan A.S. Panchapakesa Iyer,"Arts, Film & Photography",Music,Paperback,850.0,4.6,82,False,6.7464121285733745
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Other,1552.0,4.4,5,True,7.347943823148687
Best of Taylor Swift : Song collection,Aishi,"Arts, Film & Photography",Music,Paperback,260.0,3.9,9,False,5.564520407322694
Learn Your Fretboard: The Essential Memorization Guide for Guitar (Book + Online Bonus),Luke Zecchin,"Arts, Film & Photography",Music,Paperback,647.0,4.4,464,False,6.473890696352274
Bollywood Odyssey: The Singing Taxman's Journey Into Film Music,Ajay Mankotia,"Arts, Film & Photography",Music,Paperback,675.0,4.4,11,False,6.516193076042964
"ABRSM Grade 3 Theory Workbook, Discovering Music Theory(New Syllabus 2021)",ABRSM Publication,"Arts, Film & Photography",Music,Paperback,990.0,4.7,4,True,6.898714534329988
"Solfège Des Solfèges, Complete, Book I, Book II and Book III: 337 Sight Singing Exercises",A. Dannhäuser,"Arts, Film & Photography",Music,Paperback,2349.0,4.7,5,True,7.762170607138205
A History of Heavy Metal: 'Absolutely hilarious' – Neil Gaiman,Andrew O'Neill,"Arts, Film & Photography",Music,Paperback,649.0,4.4,549,False,6.476972362889683
John Thompson's Modern Course for the Piano 1,John Thompson,"Arts, Film & Photography",Music,Paperback,740.0,4.6,88,False,6.608000625296087
Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,"Arts, Film & Photography",Theater & Ballet,Other,247.95,4.4,86578,False,5.5172520730881915
Waiting for Godot : A Tragicomedy in Two: A Tragicomedy in Two Acts (Faber Drama),Samuel Beckett,"Arts, Film & Photography",Theater & Ballet,Paperback,269.0,4.4,614,False,5.598421958998375
"Nandikeshwar's Abhinaya Darpanam, Revised & Enlarged",Manmohan Ghosh,"Arts, Film & Photography",Theater & Ballet,Hardcover,200.0,4.2,147,False,5.303304908059076
"The Courtesan, The Mahatma And The Italian Brahmin : Tales From Indian History",Manu S. Pillai,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,342.0,4.4,783,False,5.83773044716594
Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,"Arts, Film & Photography",Theater & Ballet,Paperback,850.0,4.5,7060,False,6.7464121285733745
Greatest Comedies of Shakespeare Deluxe Hardbound Edition,William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Hardcover,469.0,4.5,367,False,6.152732694704104
காதல் ஔஷதம் நீ (Tamil Edition),அஞ்சனா  சுபி,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,340.0,4.3,44,False,5.831882477283517
So That Happened: A Romantic Comedy (Donovan Family Book 1),Katie Bailey,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,416.0,4.1,5984,False,6.0330862217988015
On Cloud Nine (Perks & Benefits Book 3),Denise Stone,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,415.0,3.9,780,False,6.030685260261263
மௌனக்குமிழ்கள் (Tamil Edition),சுகமதி Sugamathi,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,309.0,4.2,17,False,5.736572297479192
Plays: Ivanov/The Seagull/Uncle Vanya/Three Sisters/The Cherry Orchard (Penguin Classics) Anton Chekhov,Anton Chekhov,"Arts, Film & Photography",Theater & Ballet,Paperback,298.69,4.6,367,False,5.702748607065903
Poetics (Penguin Classics),Aristotle,"Arts, Film & Photography",Theater & Ballet,Paperback,206.0,4.5,602,False,5.332718793265369
சுடரொளியாய் வெளிச்சமூட்டு: SUDAROLIYAI VELICHAMOOTU (Tamil Edition),அஞ்சனா  சுபி,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,325.0,4.2,94,False,5.786897381366708
"How to Write Funny: Your Serious, Step-By-Step Blueprint For Creating Incredibly, Irresistibly, Successfully Hilarious Writing",Scott Dikkers,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,235.0,4.4,679,False,5.4638318050256105
The Science of Storytelling,Will Storr,"Arts, Film & Photography",Theater & Ballet,Audible Audiobook,1172.0,4.5,1707,True,7.067319848653476
Four Great Comedies,William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Paperback,265.69,4.6,89,False,5.586086935171916
"Hayvadan [] Girish Karnad, Tr. B.V. Karant",Tr. B.V. Karant Girish Karnad,"Arts, Film & Photography",Theater & Ballet,Paperback,301.0,4.6,39,False,5.71042701737487
This Life at Play: Memoirs,Girish Karnad,"Arts, Film & Photography",Theater & Ballet,Paperback,344.0,4.6,168,False,5.84354441703136
Stella Adler: The Art of Acting,Howard Kissel,"Arts, Film & Photography",Theater & Ballet,Audible Audiobook,668.0,4.7,869,False,6.505784060128229
A History of Heavy Metal: 'Absolutely hilarious' – Neil Gaiman,Andrew O'Neill,"Arts, Film & Photography",Theater & Ballet,Paperback,649.0,4.4,549,False,6.476972362889683
அசுரனின் காதல் (Tamil Edition),Ebin Rider,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,400.0,5.0,1,False,5.993961427306569
BEFORE & LAUGHTER,Jimmy Carr,"Arts, Film & Photography",Theater & Ballet,Paperback,682.0,4.4,3198,False,6.52649485957079
Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,Dean Movshovitz,"Arts, Film & Photography",Theater & Ballet,Paperback,1441.0,4.4,778,True,7.273786317844895
BUILDING A CHARACTER,Constantin Stanislavski,"Arts, Film & Photography",Theater & Ballet,Paperback,371.0,4.7,456,False,5.918893854273146
"Storyworthy: Engage, Teach, Persuade, and Change Your Life Through the Power of Storytelling",Matthew Dicks,"Arts, Film & Photography",Theater & Ballet,Paperback,1425.0,4.6,1618,True,7.262628600974241
Batman Begins: The Screenplay: Including Storyboards and Exclusive Interviews,Christopher Nolan,"Arts, Film & Photography",Theater & Ballet,Paperback,1596.0,4.5,46,True,7.3758821482150125
An Actor Prepares,Constantin Stanislavski,"Arts, Film & Photography",Theater & Ballet,Paperback,568.0,4.5,1521,False,6.343880434126331
Gulmohar,Kale V.P.,"Arts, Film & Photography",Theater & Ballet,Paperback,110.0,4.4,122,False,4.709530201312334
Film Lighting: Talks with Hollywood's Cinematographers and Gaffers [] Kris Malkiewicz,Kris Malkiewicz,"Arts, Film & Photography",Theater & Ballet,Paperback,628.0,4.6,156,False,6.444131256700441
James Acaster's Guide to Quitting Social Media,James Acaster,"Arts, Film & Photography",Theater & Ballet,Hardcover,1280.0,4.0,338,True,7.155396301896734
The Quite Nice and Fairly Accurate Good Omens Script Book,Neil Gaiman,"Arts, Film & Photography",Theater & Ballet,Paperback,767.0,4.8,1543,False,6.643789733147672
"Funny Jokes for 15 Year Old Teens: The Ultimate Q&A, One-Liner, Dad, Knock-Knock, Riddle, and Tongue Twister Collection! Hilarious and Silly Humor for Teenagers",Cooper The Pooper,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,165.0,5.0,1,False,5.111987788356544
Drama Games for Those Who Like to Say No,Chris Johnston,"Arts, Film & Photography",Theater & Ballet,Paperback,930.3,4.5,71,True,6.836581459527612
"BOLLYWOOD, BOX OFFICE AND BEYOND: The Evolving Business of Indian Cinema",Lata Jha,"Arts, Film & Photography",Theater & Ballet,Paperback,199.0,4.3,7,False,5.298317366548036
अभिनेता जीवन-एक संघर्ष: Evaluate yourself before you enter in the industry! (Hindi Edition),Pankaj Gupta,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,99.0,5.0,1,False,4.605170185988092
The Voice Exercise Book: A Guide to Healthy and Effective Voice Use,Jeannette Nelson,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,695.72,4.7,74,False,6.546383608384485
The Oxford Guide to Plays (Oxford Quick Reference),Michael Patterson,"Arts, Film & Photography",Theater & Ballet,Paperback,1853.0,4.3,15,True,7.5251007461258
William Shakespeare: The Complete Works (Illustrated),William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,86.29,4.6,1059,False,4.469235908747258
Sanford Meisner on Acting,Dennis Longwell,"Arts, Film & Photography",Theater & Ballet,Paperback,622.0,4.6,1693,False,6.434546518787453
Discover India: Festivals of India,Sonia Mehta,"Arts, Film & Photography",Theater & Ballet,Paperback,129.0,4.4,165,False,4.867534450455582
Days of Reading (Penguin Great Ideas),Marcel Proust,"Arts, Film & Photography",Theater & Ballet,Paperback,200.0,4.3,57,False,5.303304908059076
Will,Will Smith,"Arts, Film & Photography",Theater & Ballet,Paperback,473.0,4.6,22078,False,6.161207321695077
101 Foolproof Jokes to Use in Case of Emergency,Adam Kisiel,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,199.0,3.6,562,False,5.298317366548036
Kishore Kumar: The Ultimate Biography,Anirudha Bhattacharjee,"Arts, Film & Photography",Theater & Ballet,Paperback,489.0,4.7,283,False,6.194405391104672
"Basketball (and Other Things): A Collection of Questions Asked, Answered, Illustrated",Shea Serrano,"Arts, Film & Photography",Theater & Ballet,Paperback,1338.08,4.8,1765,True,7.19973808998561
"Everyone You Hate is Going to Die: And Other Comforting Thoughts on Family, Friends, Sex, Love, and More Things That Ruin Your Life",Daniel Sloss,"Arts, Film & Photography",Theater & Ballet,Paperback,551.0,4.6,967,False,6.313548046277095
Marainthirunthu Paarkum Marmam Enna..!!!: மறைந்திருந்து பார்க்கும் மர்மம் என்ன..!!! (Tamil Edition),Thiyashi Vijay,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,250.0,5.0,3,False,5.5254529391317835
A Bird on My Windowsill,Manav Kaul,"Arts, Film & Photography",Theater & Ballet,Hardcover,324.0,4.5,2,False,5.783825182329737
The Guide for Every Screenwriter: From Synopsis to Subplots: The Secrets of Screenwriting Revealed,Geoffrey D Calhoun,"Arts, Film & Photography",Theater & Ballet,Paperback,630.0,4.5,98,False,6.447305862541213
Physics Galaxy 2024: JEE Advanced - Physics - Chapter wise PYQ Analysis by Ashish Arora,Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,214.0,4.4,75,False,5.3706380281276624
Physics Galaxy 2024: Physics - 23 Years' NEET - Chapter-wise & Topic-Wise Solutions (2001-2023) by Ashish Arora,Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,225.0,4.3,37,False,5.420534999272286
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",Alex Michaelides,"Arts, Film & Photography",Theory & Criticism,Kindle Edition,194.75,4.5,291822,False,5.276838334870913
THE ARTIST'S WAY,Julia Cameron,"Arts, Film & Photography",Theory & Criticism,Paperback,519.0,4.5,10871,False,6.253828811575473
Physics Galaxy 2023 : Vol.3A Electrostatics & Current Electricity 3rd Edition,Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,386.0,4.3,110,False,5.958424693029782
PHYSICS GALAXY 2023 : VOL.1 - MECHANICS 3RD EDITION,Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,462.0,4.5,202,False,6.137727054086234
Letters of Vincent Van Gogh (Penguin Classics),Vincent Van Gogh,"Arts, Film & Photography",Theory & Criticism,Paperback,299.0,4.6,1105,False,5.703782474656201
"PHYSICS GALAXY : VOL.3B - MAGNETISM, EMI & ALTERNATING CURRENT 3RD EDITION: Vol.3B - Magnetism, EMI & Alternating Current 3rd edition by Ashish Arora",Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,309.0,4.2,86,False,5.736572297479192
"Design as Art (Penguin Modern Classics) Munari, Bruno",Bruno Munari,"Arts, Film & Photography",Theory & Criticism,Paperback,406.0,4.5,1054,False,6.008813185442595
"Physics Galaxy : Vol.2  Thermodynamics, Oscillations  & Waves 3rd edition",Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,420.0,4.4,80,False,6.042632833682381
History Optional - Modern India & World History - Previous Years UPSC Solved Papers 1979-2022 2ed by Rashid Yasin,Rashid Yasin,"Arts, Film & Photography",Theory & Criticism,Paperback,445.0,4.5,59,False,6.100318952020064
Physics Galaxy : Vol. IV Optics & Modern Physics (3rd edition) by Ashish Arora,Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,430.0,4.4,69,False,6.066108090103747
UPPSC 2023 Previous Years' Topic-Wise Solved Papers  - Paper I 2003-22 & Solved Paper II 2012-22 4ed by Sheelwant Singh & Sarika: Previous Years' ... & Solved Paper II 2012-22 4ed by Access,Sheelwant Singh,"Arts, Film & Photography",Theory & Criticism,Paperback,327.0,4.4,65,False,5.793013608384144
Geronimo Stilton and the Kingdom of Fantasy #7: The Enchanted Charms,Geronimo Stilton,"Arts, Film & Photography",Theory & Criticism,Hardcover,390.0,4.6,2358,False,5.968707559985366
History Optional 2023 - Ancient & Medieval India - Previous Years UPSC Solved Papers (1979 - 2022) 2ed by Rashid Yasin,Rashid Yasin,"Arts, Film & Photography",Theory & Criticism,Paperback,407.0,4.3,84,False,6.0112671744041615
